Geography,product,unit,carbon footprint in kg CO2e,Source of information
USA,501® Original Jeans – Dark Stonewash---Levi Strauss & Co.,unit,16.05,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,501® Original Jeans – Dark Stonewash---Levi Strauss & Co.,unit,16.05,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,501® Original Jeans – Dark Stonewash---Levi Strauss & Co.,unit,16.05,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,Slim Straight 514™ Jeans – Indigo Wash---Levi Strauss & Co.,unit,12.65,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,Slim Straight 514™ Jeans – Indigo Wash---Levi Strauss & Co.,unit,12.65,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,Slim Straight 514™ Jeans – Indigo Wash---Levi Strauss & Co.,unit,9.77,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,Slim Straight 514™ Jeans – Rigid Tank---Levi Strauss & Co.,unit,11.32,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,Slim Straight 514™ Jeans – Rigid Tank---Levi Strauss & Co.,unit,11.32,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,Slim Straight 514™ Jeans – Rigid Tank---Levi Strauss & Co.,unit,8.75,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,501® Original Jeans – Light Stonewash---Levi Strauss & Co.,unit,15.05,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,501® Original Jeans – Light Stonewash---Levi Strauss & Co.,unit,15.05,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,501® Original Jeans – Medium Stonewash---Levi Strauss & Co.,unit,16.05,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,501® Original Jeans – Medium Stonewash---Levi Strauss & Co.,unit,16.05,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,Slim Straight 514™ Jeans – Tumbled Rigid---Levi Strauss & Co.,unit,23.53,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,Slim Straight 514™ Jeans – Tumbled Rigid---Levi Strauss & Co.,unit,23.53,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,Regular Straight 505® Jeans – Range (Water<Less™)---Levi Strauss & Co.,unit,20.87,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,Regular Straight 505® Jeans – Range (Water<Less™)---Levi Strauss & Co.,unit,20.87,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,Regular Straight 505® Jeans – Range---Levi Strauss & Co.,unit,20.87,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,Regular Straight 505® Jeans – Range---Levi Strauss & Co.,unit,20.87,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,Regular Straight 505® Jeans – House Cat---Levi Strauss & Co.,unit,19.57,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,Regular Straight 505® Jeans – House Cat---Levi Strauss & Co.,unit,20.87,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,"MS315DN - Mono Laser Printer---Lexmark International, Inc.",unit,100.79,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,"MS410DN - Mono Laser Printer---Lexmark International, Inc.",unit,95.81,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,"CX310DN - Color Laser Printer---Lexmark International, Inc.",unit,75.19,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,"MS415DN - Mono Laser Printer---Lexmark International, Inc.",unit,95.08,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,"MS510DN - Mono Laser Printer---Lexmark International, Inc.",unit,97.04,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,"MS610DE - Mono Laser Printer---Lexmark International, Inc.",unit,107.68,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,"MS610DN - Mono Laser Printer---Lexmark International, Inc.",unit,111.38,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,"MS810DE - Mono Laser Printer---Lexmark International, Inc.",unit,76.65,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,"MS810DN - Mono Laser Printer---Lexmark International, Inc.",unit,73.08,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,"MS811DN - Mono Laser Printer---Lexmark International, Inc.",unit,87,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,"MS812DE - Mono Laser Printer---Lexmark International, Inc.",unit,98.86,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,"MS812DN - Mono Laser Printer---Lexmark International, Inc.",unit,100.12,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,"MX310DN - Mono Laser Printer---Lexmark International, Inc.",unit,50.79,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,"CX410DE - Color Laser Printer---Lexmark International, Inc.",unit,103.18,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,"MX410DE - Mono Laser Printer---Lexmark International, Inc.",unit,65.1,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,"MX511DE - Mono Laser Printer---Lexmark International, Inc.",unit,66.1,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,"MX611DE - Mono Laser Printer---Lexmark International, Inc.",unit,76.07,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,"MX710DE - Mono Laser Printer---Lexmark International, Inc.",unit,51.15,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,"MX711DE - Mono Laser Printer---Lexmark International, Inc.",unit,54.72,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,"MX810DFE - Mono Laser Printer---Lexmark International, Inc.",unit,21.48,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,"MX811DFE - Mono Laser Printer---Lexmark International, Inc.",unit,25.18,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,"MX812DFE - Mono Laser Printer---Lexmark International, Inc.",unit,28.25,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,"CX510DE - Color Laser Printer---Lexmark International, Inc.",unit,95.8,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,"CS310DN - Color Laser Printer---Lexmark International, Inc.",unit,96.88,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,"CS410DN - Color Laser Printer---Lexmark International, Inc.",unit,153.32,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,"CS510DE - Color Laser Printer---Lexmark International, Inc.",unit,144.64,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,"M5163 - Mono Laser Printer---Lexmark International, Inc.",unit,109.58,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,"MS310DN - Mono Laser Printer---Lexmark International, Inc.",unit,95.18,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,"MS312DN - Mono Laser Printer---Lexmark International, Inc.",unit,94.28,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
South Korea,Mobile Batteries---LG Chem Ltd,unit,5.85,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
South Korea,Mobile Batteries---LG Chem Ltd,unit,10.25,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
South Korea,Automotive Batteries---LG Chem Ltd,unit,3.11,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
South Korea,Automotive Batteries---LG Chem Ltd,unit,6.31,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
South Korea,Automotive Battery---LG Chem Ltd,unit,4.29,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
South Korea,ABS (Acrylonitrile Butadiene Styrene)---LG Chem Ltd,unit,0.88,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
South Korea,ABS(Acrylonitrile Butadiene Styrene)---LG Chem Ltd,unit,0.4,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
South Korea,BPA(Bisphenol-A)---LG Chem Ltd,unit,1.09,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
South Korea,IT&New Application Battery---LG Chem Ltd,unit,10.61,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
South Korea,LG-E970---LG Electronics,unit,47.59,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
Switzerland,"Mouse, M185---Logitech International SA",unit,31.76,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
United Kingdom,White crystalline sugar---Associated British Foods,unit,0.65,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
United Kingdom,Sugar---Associated British Foods,unit,0.65,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
United Kingdom,Sugar---Associated British Foods,unit,0.65,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
Brazil,grinding media cast.---MAGOTTEAUX,unit,1.17,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
Taiwan,IC chips of Smartphone---MediaTek,unit,17.19,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
USA,"1 DVD Software Package---Autodesk, Inc.",unit,14.11,"Meinrenken, Christoph J., Daniel Chen, Ricardo A. Esparza, Venkat Iyer, Sally P. Paridis, Aruna Prasad, and Erika Whillas. ""The Carbon Catalogue, carbon footprints of 866 commercial products from 8 industry sectors and 5 continents."" Scientific Data 9, no. 1 (2022): 87."
